Country,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
RU,Leshukonskoye,64.8989,45.7622,45.5,57,84,8.48,1619166764
PH,Alim,9.5649,122.4876,82.96,73,99,9.28,1619166765
VU,Sola,-13.8833,167.55,83.82,71,81,16.6,1619166765
ES,Carballo,43.213,-8.691,60.01,72,100,8.01,1619166766
NO,Årnes,60.1211,11.4663,43.0,36,0,19.57,1619166767
BR,Carutapera,-1.195,-46.02,73.49,96,96,4.03,1619166767
ZM,Zambezi,-13.5432,23.1047,80.89,43,9,8.61,1619166768
AU,Codrington,-38.2667,141.9667,55.45,77,100,7.9,1619166768
US,Mayo,38.8876,-76.5119,42.8,49,1,5.75,1619166769
NG,Tari,12.4086,4.4914,96.42,31,96,14.38,1619166769
GW,Bubaque,11.2833,-15.8333,77.95,65,65,9.44,1619166769
CA,Sioux Lookout,50.1001,-91.917,42.8,45,20,4.61,1619166770
US,North Bend,43.4065,-124.2243,44.6,93,90,4.61,1619166488
RU,Yerbogachën,61.2767,108.0108,35.94,74,100,10.02,1619166771
BR,São Gabriel da Cachoeira,-0.1303,-67.0892,72.7,98,100,1.68,1619166771
MU,Cap Malheureux,-19.9842,57.6142,82.99,70,99,5.01,1619166772
CA,Norman Wells,65.282,-126.8329,17.6,73,20,5.75,1619166773
LV,Strenči,57.6257,25.6854,37.0,92,100,5.01,1619166773
EC,Puerto Baquerizo Moreno,-0.9,-89.6,74.84,90,80,4.45,1619166774
PG,Kieta,-6.2167,155.6333,77.23,92,100,5.35,1619166774
AR,Necochea,-38.5473,-58.7368,61.0,98,100,1.01,1619166775
CN,Zhangye,38.9342,100.4517,54.52,29,100,21.88,1619166775
MU,Souillac,-20.5167,57.5167,80.6,78,75,4.61,1619166776
ML,Tessalit,20.1986,1.0114,95.18,5,0,9.62,1619166776
CL,Monte Patria,-30.6919,-70.9467,54.95,90,13,1.57,1619166776
IT,Oga,46.4631,10.347,63.0,60,0,1.14,1619166777
RU,Ola,59.5833,151.2833,31.23,97,100,13.09,1619166777
BR,Touros,-5.1989,-35.4608,73.4,100,40,3.44,1619166778
US,Lockport,41.5895,-88.0578,43.0,65,1,4.61,1619166778
ID,Ambon City,-3.6954,128.1814,87.8,66,40,5.75,1619166779
US,Ukiah,39.1502,-123.2078,50.0,76,1,2.8,1619166779
CV,Vila do Maio,15.1333,-23.2167,68.0,77,20,10.36,1619166779
JP,Hiratachō,35.4333,132.8167,60.8,67,75,19.57,1619166780
BR,Campo Formoso,-10.5075,-40.3214,67.82,95,79,2.64,1619166780
IN,Saiha,22.4833,92.9667,95.22,22,14,7.74,1619166781
RU,Tiksi,71.6872,128.8694,15.49,86,67,0.92,1619166781
NG,Wamba,8.9333,8.6,89.08,53,51,4.63,1619166782
BR,Tanhaçu,-14.0214,-41.2481,68.13,96,100,2.42,1619166782
NO,Sørland,67.667,12.6934,32.0,100,90,4.61,1619166783
PE,Celendín,-6.8703,-78.1517,51.35,89,79,1.97,1619166783
US,Nashua,42.7654,-71.4676,36.0,55,1,9.22,1619166783
CA,Ottawa,45.4112,-75.6981,37.0,64,75,9.22,1619166629
SY,Yabrūd,33.9674,36.6574,77.0,15,0,6.91,1619166784
RU,Mikhaylovka,50.06,43.2379,52.0,91,100,8.61,1619166785
GE,Khani,41.9563,42.9566,62.6,51,0,4.61,1619166786
US,Kirksville,40.1948,-92.5833,48.2,46,90,8.05,1619166787
NZ,Ahipara,-35.1667,173.1667,61.32,92,0,6.22,1619166788
RU,Noyabrsk,63.1994,75.4507,34.52,98,27,20.67,1619166554
AU,Nelson Bay,-32.7167,152.15,62.6,55,0,4.61,1619166789
CA,Hearst,49.6835,-83.6665,33.8,69,10,5.75,1619166790
TZ,Kaliua,-5.0606,31.7936,79.74,56,13,5.86,1619166790
PH,Panlaitan,12.1191,119.8486,83.5,70,51,8.68,1619166790
RU,Tyrma,50.0833,132.1667,48.38,50,100,7.56,1619166791
AU,Cowra,-33.8333,148.6833,55.0,64,52,3.0,1619166791
IN,Tura,25.5198,90.2201,93.06,19,0,7.58,1619166792
US,Pacific Grove,36.6177,-121.9166,52.0,76,90,5.75,1619166792
GB,Caernarfon,53.1413,-4.2702,57.2,24,0,4.61,1619166793
MR,Adrar,20.5022,-10.0711,81.25,11,0,12.21,1619166793
SO,Bandarbeyla,9.4942,50.8122,87.55,59,90,11.34,1619166794
JP,Wajima,37.4,136.9,59.0,51,0,8.05,1619166794
AU,Yulara,-25.2406,130.9889,77.0,25,3,10.36,1619166795
RU,Nazarovo,56.0064,90.3914,41.56,52,57,11.63,1619166795
BR,Monte Carmelo,-18.7247,-47.4986,57.06,61,0,4.25,1619166796
OM,Sur,22.5667,59.5289,96.06,30,0,9.44,1619166796
NZ,Hokitika,-42.7167,170.9667,53.85,86,43,2.19,1619166796
ES,Alcañiz,41.05,-0.1333,57.0,79,12,4.0,1619166797
IE,Skibbereen,51.55,-9.2667,48.2,81,75,18.41,1619166797
FR,Saint-François,46.4154,3.9054,53.6,43,0,5.75,1619166798
CN,Yumen,40.2833,97.2,52.77,25,97,27.27,1619166798
BR,Camaçari,-12.6975,-38.3242,77.0,88,75,1.21,1619166799
PH,San Policarpo,12.1791,125.5072,81.97,81,100,3.67,1619166799
LR,Harper,4.375,-7.7169,82.4,81,100,6.44,1619166782
PL,Błonie,52.1985,20.6171,46.99,99,26,15.46,1619166800
PE,San Jerónimo,-11.9472,-75.2829,42.12,93,68,0.43,1619166800
FR,Arrondissement de Fontenay-le-Comte,46.5833,-1.0,60.8,55,0,10.36,1619166801
ZM,Kaputa,-8.4689,29.6619,74.28,72,80,3.78,1619166801
MU,Quatre Cocos,-20.2078,57.7625,82.99,78,75,4.61,1619166802
AU,Batemans Bay,-35.7167,150.1833,57.99,74,1,4.5,1619166802
PH,Tambilil,5.9622,124.6697,89.6,55,40,5.75,1619166803
KM,Mitsamiouli,-11.3847,43.2844,81.95,73,95,19.71,1619166803
RU,Petropavlovka,50.6114,105.3196,40.71,37,100,10.78,1619166803
CN,Luzhou,28.8724,105.4405,78.55,67,52,7.65,1619166804
CL,Ancud,-41.8697,-73.8203,44.01,100,20,4.18,1619166804
IN,Chengam,12.3,78.8,86.68,55,65,7.87,1619166805
BR,Urucará,-2.5364,-57.76,72.0,98,100,2.68,1619166805
AM,Aygehovit,40.9795,45.2503,62.49,64,62,6.82,1619166806
RU,Aldan,58.6031,125.3894,27.82,84,100,16.58,1619166806
SD,Kutum,14.2,24.6667,90.61,12,47,15.48,1619166807
MN,Baruun-Urt,46.6806,113.2792,54.37,28,67,18.1,1619166807
MX,Tomatlán,19.9333,-105.25,67.95,70,92,3.06,1619166808
CF,Ouadda,8.0777,22.4007,94.17,33,20,9.13,1619166808
ID,Sabang,5.8933,95.3214,83.7,72,97,19.39,1619166809
ES,Los Llanos de Aridane,28.6585,-17.9182,69.8,73,20,4.61,1619166809
PH,Gigmoto,13.7796,124.39,83.37,79,80,1.52,1619166810
US,Hurricane,37.1753,-113.2899,59.0,24,1,3.44,1619166811
US,Saint Anthony,45.0205,-93.218,51.8,40,90,9.22,1619166811
GT,Champerico,14.3,-91.9167,64.99,98,86,1.61,1619166812
MM,Myanaung,18.2833,95.3167,105.96,20,6,5.75,1619166812
SY,Aleppo Governorate,36.25,37.5,76.24,22,0,1.45,1619166813
BR,Conde,-7.2597,-34.9075,73.4,94,20,4.61,1619166813
GL,Narsaq,60.9167,-46.05,37.4,70,75,3.44,1619166814
BR,Cabedelo,-6.9811,-34.8339,73.4,94,20,4.61,1619166815
AU,Port Keats,-14.25,129.55,84.52,65,95,7.2,1619166815
AU,Port Macquarie,-31.4333,152.9167,57.99,77,0,2.57,1619166686
SV,San Miguel,13.4833,-88.1833,75.9,65,6,1.72,1619166816
DO,Santa Cruz de Barahona,18.2085,-71.1008,73.89,82,4,1.03,1619166817
NZ,Wanaka,-44.7,169.15,52.0,84,88,1.99,1619166817
IN,Verāval,20.9,70.3667,88.14,53,93,12.24,1619166818
US,Russell,32.3502,-85.1999,46.4,93,1,3.78,1619166607
CN,Lingao,19.9103,109.6859,83.43,73,17,9.01,1619166818
SL,Bonthe,7.5264,-12.505,79.23,85,100,4.5,1619166819
RU,Zyryanka,65.75,150.85,21.0,91,100,14.43,1619166819
IN,Peddāpuram,17.0833,82.1333,91.4,58,40,23.02,1619166820
CA,Shelburne,44.0787,-80.2041,34.0,80,0,12.46,1619166820
MZ,Inhambane,-23.865,35.3833,78.8,65,20,3.83,1619166821
RU,Anadyr,64.75,177.4833,17.6,86,0,11.18,1619166822
PT,Ponta do Sol,32.6667,-17.1,62.01,82,34,3.0,1619166822
BE,Walcourt,50.2539,4.4352,46.99,75,75,9.22,1619166823
IT,Laas,46.6166,10.7002,57.99,65,0,6.91,1619166823
NC,Noumea,-22.2763,166.4572,80.01,83,75,4.61,1619166605
ES,Tarancón,40.0085,-3.0073,55.0,71,20,5.75,1619166824
CL,Constitución,-35.3333,-72.4167,52.57,85,54,4.68,1619166825
MW,Chitipa,-9.7024,33.2697,72.55,65,39,9.84,1619166825
NO,Honningsvåg,70.9821,25.9704,37.4,65,40,2.3,1619166615
AU,Port Augusta,-32.5,137.7667,62.6,77,100,8.05,1619166826
US,Missoula,47.0166,-113.8009,35.6,75,90,13.8,1619166827
NZ,Christchurch,-43.5333,172.6333,62.6,51,20,10.36,1619166615
GT,Tecpan,14.7623,-90.9947,64.0,88,90,16.11,1619166828
BA,Turbe,44.2436,17.5714,49.19,71,90,5.48,1619166828
ZA,Plettenberg Bay,-34.0527,23.3716,76.41,54,3,4.29,1619166828
IE,Killybegs,54.6333,-8.45,51.8,57,0,1.14,1619166829
ID,Teluknaga,-6.0989,106.6381,90.0,58,20,9.22,1619166829
BR,Bom Jardim,-7.7958,-35.5872,72.34,89,85,2.28,1619166830
GM,Nioro,13.35,-15.75,81.82,29,28,7.02,1619166830
US,Sterling,39.0062,-77.4286,35.01,75,1,4.61,1619166572
BR,Guaíra,-20.3183,-48.3106,56.05,93,0,4.36,1619166832
CN,Hongjiang,27.11,109.9956,76.98,76,69,4.34,1619166832
NO,Bjerkvik,68.5597,17.5189,36.0,48,75,1.14,1619166833
ID,Tual,-5.6667,132.75,84.4,74,20,11.39,1619166833
BR,Valença do Piauí,-6.4075,-41.7456,68.97,97,84,0.87,1619166834
RU,Sovetskiy,61.3614,63.5842,40.91,93,100,7.4,1619166834
RU,Ekhabi,53.5102,142.9671,32.34,85,100,11.14,1619166835
PG,Wewak,-3.5534,143.6268,80.01,82,100,2.51,1619166835
IL,Kiryat Gat,31.61,34.7642,78.01,45,0,1.99,1619166836
CL,Taltal,-25.4,-70.4833,59.09,84,43,1.45,1619166836
CN,Xining,36.6167,101.7667,64.22,41,86,22.41,1619166837
JP,Namie,37.4833,141.0,54.0,50,0,3.33,1619166837
ML,Kayes,14.0,-11.0,95.79,11,48,10.31,1619166837
CL,Valparaíso,-33.0393,-71.6273,57.0,80,100,6.53,1619166731
RU,Birsk,55.4211,55.5428,48.87,68,100,7.96,1619166838
PG,Kiunga,-6.1219,141.2906,79.43,87,100,2.93,1619166839
ID,Ngoro,-7.6839,112.258,89.6,48,20,9.22,1619166839
CN,Xichang,27.8964,102.2634,93.56,14,20,15.5,1619166840
CN,Mergen,49.1833,125.2167,47.05,33,98,10.71,1619166840
IN,Gaya,24.7833,85.0,100.4,10,20,11.5,1619166841
AR,Morón,-34.6534,-58.6198,68.0,88,92,4.0,1619166841
VE,Zaraza,9.3503,-65.3245,76.77,67,16,5.08,1619166842
PT,Vila Franca do Campo,37.7167,-25.4333,59.0,72,40,28.77,1619166842
ID,Kalianget,-7.05,113.9333,83.34,65,43,3.62,1619166843
MU,Grand Gaube,-20.0064,57.6608,82.99,70,99,5.01,1619166843
RU,Yumaguzino,52.9041,56.3933,52.18,63,100,14.32,1619166844
FR,Arrondissement d'Avignon,44.0833,4.8333,63.0,59,0,2.3,1619166844
BR,Cururupu,-1.8283,-44.8683,72.68,98,91,2.42,1619166748
KG,Karakol,42.4907,78.3936,43.0,45,0,5.3,1619166666
JP,Kamaishi,39.2667,141.8833,66.2,19,0,12.66,1619166845
JP,Ishigaki,24.3448,124.1572,75.2,88,75,14.97,1619166846
RU,Irbit,57.6705,63.071,51.93,58,100,11.23,1619166846
US,Half Moon Bay,37.4636,-122.4286,51.01,87,90,4.61,1619166611
ID,Atambua,-9.1061,124.8925,77.72,78,11,2.86,1619166847
TR,Artvin Province,41.1667,41.8333,57.2,82,0,8.05,1619166848
US,Kahului,20.8947,-156.47,73.4,78,1,18.41,1619166795
RU,Krasnosel'kup,65.7,82.4667,34.21,98,85,20.24,1619166849
GH,Foso,5.7012,-1.2866,84.76,67,100,3.71,1619166849
SA,Buraidah,26.326,43.975,96.8,15,20,9.22,1619166850
PT,Camacha,33.0833,-16.3333,66.2,72,20,12.66,1619166850
PT,Lagoa,39.05,-27.9833,57.56,78,25,35.39,1619166851
AU,Mount Isa,-20.7333,139.5,80.6,17,7,10.36,1619166851
TT,Point Fortin,10.1833,-61.6833,75.99,94,3,1.01,1619166852
JM,Bull Savanna,17.8868,-77.5902,71.1,82,47,2.62,1619166852
AR,Santa Fe,-31.6333,-60.7,66.99,93,89,1.99,1619166853
RE,Saint-Pierre,-21.3393,55.4781,78.8,73,0,6.91,1619166853
PH,Magdalena,14.1999,121.429,90.0,66,20,17.27,1619166854
AR,Villa Carlos Paz,-31.4241,-64.4978,64.0,91,100,4.0,1619166854
MY,Nilai,2.8169,101.7956,87.8,62,40,5.75,1619166855
PE,Tocache,-8.1842,-76.5125,68.31,98,46,0.58,1619166855
RU,Vilyuysk,63.7553,121.6247,29.53,81,99,14.07,1619166856
RU,Slyudyanka,51.6594,103.7061,33.94,74,100,5.5,1619166856
PT,Vila,42.0304,-8.1588,57.0,81,100,3.0,1619166857
IN,Bhatkal,13.9667,74.5667,86.54,72,40,10.11,1619166858
CA,Fernie,49.5,-115.0687,32.0,64,60,5.75,1619166859
RU,Kungurtug,50.5994,97.5228,33.33,70,100,11.43,1619166860
CN,Erenhot,43.6475,111.9767,71.82,21,61,19.82,1619166860
KZ,Zharkent,44.1628,80.0,54.99,9,0,14.88,1619166861
CN,Beihai,21.4833,109.1,81.34,76,2,5.7,1619166861
US,Pacifica,37.6138,-122.4869,51.01,87,90,4.61,1619166825
BR,Maraã,-1.8333,-65.3667,73.0,98,99,1.14,1619166862
RU,Tommot,58.9564,126.2925,32.49,78,100,13.47,1619166863
NC,Vao,-22.6667,167.4833,75.22,69,100,11.59,1619166863
RU,Agirish,61.9247,63.0231,43.65,84,100,8.55,1619166864
US,San Jose,37.3394,-121.895,51.8,71,90,4.12,1619166755
AR,Río Cuarto,-33.1307,-64.3499,61.0,94,99,3.0,1619166864
CD,Mwene-Ditu,-7.0,23.45,79.34,65,10,6.73,1619166865
TR,Nisibis,37.0778,41.2178,80.6,16,0,5.75,1619166865
RU,Tsimmerbude,54.675,20.1347,45.0,70,40,20.13,1619166866
US,Twin Falls,42.3505,-114.6445,46.4,36,40,11.5,1619166867
MV,Thinadhoo,0.5333,72.9333,83.43,63,7,7.7,1619166867
US,Indiana,40.0003,-86.2503,39.0,65,1,4.61,1619166697
GL,Paamiut,61.994,-49.6678,30.16,71,1,5.35,1619166868
CO,Puerto Nariño,-3.7703,-70.3831,75.2,100,75,2.3,1619166868
AU,Ballina,-28.8667,153.5667,59.0,77,0,4.45,1619166868
JP,Nishihara,26.1842,127.7558,69.8,88,90,23.02,1619166869
CA,Aklavik,68.2191,-135.0107,14.0,67,88,6.91,1619166869
RU,Verkhnyaya Inta,65.9811,60.3094,39.09,94,100,15.12,1619166870
RU,Usinsk,65.9939,57.5281,37.89,97,100,18.95,1619166870
RU,Sobinka,55.9855,40.0111,60.01,51,51,14.14,1619166871
RU,Lermontovka,47.1453,134.3383,60.49,61,100,12.3,1619166871
CA,Port Hawkesbury,45.6169,-61.3485,34.0,69,90,13.8,1619166872
PH,Marawi,7.9986,124.2928,82.99,84,82,7.0,1619166872
RU,Vetluga,57.8557,45.781,54.03,58,99,10.45,1619166873
AU,Albury,-36.0833,146.9167,59.0,55,75,5.75,1619166841
JP,Kitami,43.8031,143.8908,53.6,58,0,5.75,1619166874
HN,Barra Patuca,15.8,-84.2833,76.62,81,8,7.11,1619166874
ID,Nabire,-3.3667,135.4833,79.09,87,99,2.13,1619166875
TD,Bousso,10.4795,16.7117,100.2,25,41,8.84,1619166875
LY,Waddān,29.1614,16.139,90.09,12,70,16.15,1619166877
AU,Cairns,-16.9167,145.7667,75.2,88,90,11.5,1619166687
CN,Honghu,29.8206,113.4621,72.64,72,92,10.83,1619166878
CO,Puerto Carreño,6.189,-67.4859,79.25,64,60,5.68,1619166878
ES,Muros,42.7762,-9.0603,59.0,88,100,10.27,1619166879
MM,Mogok,22.9167,96.5,90.97,22,68,5.95,1619166879
CN,Kumul,42.8,93.45,56.19,24,100,7.38,1619166880
BW,Mookane,-23.688,26.6595,79.11,26,0,3.6,1619166880
NO,Skjervøy,70.0311,20.9714,37.4,52,75,10.36,1619166881
NA,Oranjemund,-28.55,16.4333,70.3,60,0,7.7,1619166881
MA,Kenitra,34.261,-6.5802,60.8,100,75,3.69,1619166882
SV,Puerto El Triunfo,13.2833,-88.55,75.2,78,20,3.44,1619166882
PH,Bacolod City,10.6667,122.95,84.13,70,99,15.95,1619166883
ID,Loa Janan,-0.583,117.095,79.99,88,75,3.44,1619166883
GR,Lithakia,37.7167,20.8333,66.2,63,40,5.75,1619166884
SA,Riyadh,24.6877,46.7219,98.6,9,0,6.91,1619166884
BR,Maragogi,-9.0122,-35.2225,76.46,87,29,2.91,1619166885
CA,Goderich,43.7501,-81.7165,39.2,65,0,11.5,1619166607
AU,Roebourne,-20.7833,117.1333,86.04,30,2,10.45,1619166886
BR,Itarema,-2.9248,-39.9167,73.99,93,87,6.49,1619166887
RU,Abaza,52.655,90.0928,39.65,42,100,8.34,1619166888
ID,Luwuk,-0.9516,122.7875,83.25,76,95,3.87,1619166889
JP,Katsuura,35.1333,140.3,62.01,51,7,5.01,1619166891
AU,Dalby,-27.1833,151.2667,63.0,34,0,1.01,1619166891
US,Houma,29.5958,-90.7195,62.01,88,90,4.61,1619166892
IT,San Giovanni in Fiore,39.2633,16.6996,57.99,100,90,4.61,1619166892
GA,Libreville,0.3925,9.4537,78.15,80,100,2.44,1619166696
TO,Neiafu,-18.65,-173.9833,81.32,77,1,13.49,1619166893
PK,Keti Bandar,24.1447,67.4497,88.79,60,0,19.93,1619166894
AI,The Valley,18.217,-63.0578,78.8,78,75,9.22,1619166894
BD,Badarganj,25.674,89.0549,100.87,12,0,10.4,1619166895
RU,Sangar,63.9242,127.4739,27.79,85,100,10.27,1619166895
NA,Henties Bay,-22.116,14.2845,68.0,86,18,1.01,1619166895
ID,Merauke,-8.4667,140.3333,82.0,79,91,6.67,1619166896
GL,Qasigiannguit,68.8193,-51.1922,30.2,55,55,4.61,1619166896
PK,Bahawalpur,29.4,71.6833,91.8,24,0,18.7,1619166636
JP,Nobeoka,32.5833,131.6667,64.0,55,100,8.1,1619166897
CA,Saint-Augustin,51.226,-58.6502,33.67,97,100,13.69,1619166897
US,Susanville,40.4163,-120.653,45.0,42,1,3.44,1619166898
RU,Berdigestyakh,62.0989,126.6992,30.25,82,100,8.77,1619166788
RU,Goryachegorsk,55.4053,88.9154,38.05,50,14,12.39,1619166898
US,Anaconda,46.1285,-112.9423,26.6,86,90,3.44,1619166899
RU,Khor,47.8861,134.9464,64.13,48,100,19.22,1619166899
RU,Kuloy,61.0305,42.4925,58.39,51,70,12.57,1619166786
RU,Tinskoy,56.1525,96.9161,43.14,51,17,9.37,1619166900
US,Coronado,32.6859,-117.1831,59.0,82,75,10.36,1619166901
PE,Pisco,-13.7,-76.2167,64.4,88,0,6.91,1619166901
IQ,Hīt,33.6416,42.8251,91.2,8,57,14.34,1619166901
US,New Milford,40.9327,-74.0179,39.2,48,1,14.97,1619166902
BR,Esmeraldas,-19.7625,-44.3139,62.6,88,0,3.44,1619166903
